Speed,Power
10.539,53.0
10.539,53.0
14.731,108.0
14.592,106.0
14.455,104.0
14.241,101.0
12.97,84.0
13.08,86.0
13.08,86.0
13.08,86.0
15.755,121.0
15.077,112.0
14.788,108.0
14.564,105.0
14.731,108.0
14.902,110.0
15.256,114.0
15.347,116.0
15.077,112.0
15.533,118.0
15.44,117.0
15.378,116.0
15.755,121.0
15.984,124.0
16.084,125.0
15.659,120.0
16.118,126.0
16.118,126.0
16.568,132.0
16.186,127.0
15.723,121.0
15.82,122.0
15.82,122.0
16.859,135.0
15.44,117.0
13.516,92.0
13.516,92.0
15.82,122.0
16.533,131.0
16.357,129.0
15.755,121.0
15.256,114.0
15.409,116.0
15.286,115.0
15.564,118.0
15.627,119.0
15.659,120.0
15.596,119.0
17.045,138.0
14.215,101.0
12.095,73.0
12.095,73.0
12.095,73.0
15.048,112.0
15.723,121.0
15.788,121.0
16.118,126.0
16.462,130.0
15.951,124.0
16.186,127.0
16.152,126.0
15.723,121.0
16.288,128.0
16.017,124.0
15.596,119.0
15.627,119.0
16.051,125.0
16.152,126.0
16.152,126.0
16.152,126.0
15.755,121.0
15.347,116.0
16.859,135.0
16.084,125.0
16.22,127.0
16.323,128.0
15.788,121.0
16.084,125.0
16.604,132.0
16.22,127.0
16.859,135.0
16.186,127.0
16.712,133.0
17.159,139.0
16.462,130.0
16.64,133.0
17.083,138.0
17.55,144.0
17.431,143.0
17.391,142.0
16.749,134.0
16.97,137.0
16.604,132.0
17.121,139.0
17.007,137.0
17.045,138.0
16.785,134.0
16.568,132.0
16.712,133.0
16.822,135.0
16.64,133.0
16.785,134.0
17.007,137.0
16.933,136.0
16.604,132.0
16.676,133.0
16.533,131.0
16.533,131.0
16.462,130.0
16.64,133.0
16.676,133.0
16.498,131.0
16.48,130.0
16.017,124.0
16.22,127.0
16.498,131.0
16.462,130.0
16.462,130.0
16.676,133.0
16.568,132.0
16.97,137.0
17.007,137.0
16.568,132.0
16.288,128.0
16.785,134.0
16.97,137.0
16.604,132.0
16.392,129.0
16.64,133.0
16.568,132.0
16.152,126.0
16.676,133.0
16.051,125.0
16.118,126.0
16.357,129.0
16.254,127.0
16.084,125.0
15.853,122.0
16.462,130.0
16.084,125.0
16.051,125.0
16.186,127.0
16.254,127.0
16.462,130.0
16.186,127.0
16.357,129.0
16.152,126.0
16.186,127.0
16.118,126.0
15.691,120.0
15.788,121.0
16.785,134.0
16.568,132.0
16.462,130.0
16.118,126.0
15.788,121.0
15.82,122.0
15.82,122.0
15.723,121.0
15.984,124.0
15.951,124.0
15.853,122.0
16.462,130.0
15.788,121.0
15.788,121.0
16.533,131.0
16.462,130.0
16.604,132.0
15.755,121.0
16.254,127.0
15.951,124.0
16.323,128.0
15.951,124.0
15.788,121.0
16.323,128.0
16.896,136.0
16.288,128.0
16.254,127.0
16.427,130.0
15.951,124.0
15.918,123.0
15.659,120.0
15.853,122.0
15.853,122.0
15.409,116.0
15.691,120.0
15.659,120.0
15.691,120.0
15.107,112.0
15.533,118.0
15.286,115.0
15.755,121.0
11.926,71.0
11.926,71.0
11.926,71.0
11.926,71.0
0.0,0.0
13.54,92.0
14.085,99.0
13.684,94.0
14.592,106.0
14.845,109.0
14.816,109.0
14.619,106.0
15.409,116.0
15.196,114.0
15.136,113.0
15.347,116.0
16.118,126.0
15.885,123.0
15.627,119.0
15.691,120.0
15.853,122.0
15.627,119.0
15.691,120.0
15.564,118.0
16.533,131.0
15.788,121.0
15.018,111.0
15.82,122.0
16.118,126.0
15.951,124.0
16.822,135.0
17.63,146.0
18.61,158.0
17.47,143.0
17.121,139.0
16.933,136.0
17.51,144.0
17.007,137.0
16.97,137.0
15.885,123.0
15.533,118.0
16.568,132.0
16.822,135.0
16.22,127.0
15.918,123.0
15.048,112.0
15.564,118.0
15.44,117.0
15.226,114.0
15.502,118.0
15.378,116.0
15.502,118.0
15.409,116.0
15.596,119.0
15.136,113.0
15.951,124.0
15.502,118.0
15.286,115.0
15.853,122.0
15.596,119.0
15.471,117.0
15.378,116.0
15.166,113.0
15.723,121.0
15.918,123.0
15.564,118.0
15.596,119.0
15.691,120.0
16.084,125.0
15.82,122.0
15.723,121.0
15.82,122.0
14.989,111.0
14.241,101.0
15.691,120.0
15.378,116.0
15.256,114.0
15.256,114.0
14.788,108.0
15.533,118.0
15.471,117.0
15.44,117.0
15.723,121.0
15.226,114.0
15.048,112.0
15.256,114.0
15.691,120.0
15.286,115.0
15.286,115.0
15.226,114.0
15.317,115.0
15.256,114.0
15.226,114.0
15.564,118.0
14.703,107.0
15.136,113.0
15.885,123.0
15.533,118.0
15.317,115.0
15.627,119.0
15.984,124.0
15.502,118.0
15.256,114.0
15.44,117.0
15.196,114.0
14.845,109.0
14.759,108.0
16.254,127.0
15.317,115.0
15.136,113.0
15.166,113.0
15.691,120.0
15.853,122.0
15.077,112.0
14.96,111.0
15.723,121.0
16.084,125.0
15.627,119.0
15.018,111.0
15.723,121.0
15.596,119.0
15.951,124.0
15.82,122.0
15.951,124.0
15.596,119.0
15.691,120.0
14.873,109.0
14.873,109.0
14.96,111.0
14.902,110.0
14.592,106.0
14.816,109.0
14.675,107.0
14.482,104.0
14.482,104.0
14.675,107.0
14.401,103.0
14.536,105.0
14.482,104.0
14.509,105.0
14.592,106.0
14.267,101.0
14.11,99.0
14.241,101.0
14.455,104.0
14.215,101.0
14.11,99.0
14.788,108.0
14.482,104.0
14.267,101.0
14.428,104.0
14.162,100.0
14.215,101.0
14.401,103.0
13.957,97.0
13.957,97.0
14.267,101.0
14.989,111.0
14.989,111.0
16.22,127.0
15.627,119.0
15.82,122.0
17.876,149.0
15.82,122.0
14.647,106.0
14.136,100.0
14.647,106.0
14.759,108.0
14.816,109.0
15.077,112.0
14.592,106.0
14.564,105.0
14.347,103.0
14.931,110.0
14.647,106.0
14.647,106.0
15.018,111.0
14.647,106.0
14.845,109.0
14.845,109.0
15.347,116.0
15.166,113.0
14.619,106.0
14.675,107.0
14.759,108.0
15.286,115.0
14.592,106.0
14.731,108.0
14.647,106.0
14.902,110.0
14.816,109.0
14.085,99.0
14.374,103.0
14.759,108.0
14.564,105.0
14.455,104.0
14.931,110.0
14.455,104.0
14.619,106.0
14.455,104.0
14.647,106.0
14.703,107.0
14.536,105.0
14.564,105.0
14.592,106.0
14.96,111.0
15.018,111.0
14.931,110.0
15.166,113.0
14.215,101.0
14.428,104.0
14.482,104.0
15.788,121.0
16.822,135.0
14.647,106.0
14.592,106.0
15.471,117.0
14.788,108.0
14.592,106.0
14.536,105.0
14.845,109.0
14.902,110.0
14.902,110.0
14.647,106.0
14.788,108.0
14.931,110.0
15.018,111.0
14.536,105.0
15.378,116.0
15.409,116.0
14.267,101.0
14.675,107.0
14.873,109.0
14.845,109.0
14.845,109.0
14.759,108.0
15.347,116.0
15.048,112.0
14.32,102.0
11.499,65.0
11.499,65.0
11.499,65.0
14.703,107.0
14.816,109.0
14.592,106.0
14.347,103.0
14.931,110.0
14.592,106.0
14.215,101.0
14.647,106.0
15.107,112.0
14.873,109.0
14.675,107.0
14.902,110.0
14.675,107.0
14.401,103.0
14.347,103.0
14.564,105.0
14.428,104.0
14.675,107.0
14.592,106.0
14.675,107.0
14.085,99.0
14.703,107.0
14.703,107.0
14.482,104.0
14.845,109.0
14.11,99.0
14.085,99.0
15.107,112.0
15.286,115.0
14.455,104.0
14.845,109.0
14.731,108.0
14.592,106.0
14.845,109.0
15.018,111.0
14.619,106.0
14.703,107.0
15.136,113.0
14.902,110.0
14.703,107.0
14.989,111.0
14.347,103.0
14.731,108.0
15.196,114.0
14.788,108.0
14.759,108.0
